
==============================
Topic Block Report: Telejornal_RTP_Jan_6
==============================

Total segments after smoothing: 260
Total frames: 698

Segments:
- Politics | frames 2606–2608 (3 frames)
- Justice/Crime | frames 2609–2610 (2 frames)
- Other | frames 2615–2618 (4 frames)
- Politics | frames 2619–2623 (5 frames)
- Politics | frames 2625–2628 (4 frames)
- Politics | frames 2648–2651 (4 frames)
- Politics | frames 2655–2656 (2 frames)
- Politics | frames 2666–2667 (2 frames)
- Politics | frames 2672–2673 (2 frames)
- Politics | frames 2675–2676 (2 frames)
- Politics | frames 2678–2680 (3 frames)
- International | frames 2692–2693 (2 frames)
- International | frames 2703–2704 (2 frames)
- Politics | frames 2711–2712 (2 frames)
- International | frames 2713–2714 (2 frames)
- Politics | frames 2724–2725 (2 frames)
- Politics | frames 2728–2730 (3 frames)
- Politics | frames 2741–2742 (2 frames)
- Politics | frames 2747–2748 (2 frames)
- Politics | frames 2762–2764 (3 frames)
- Politics | frames 2766–2767 (2 frames)
- Politics | frames 2771–2772 (2 frames)
- Politics | frames 2778–2779 (2 frames)
- Politics | frames 2791–2792 (2 frames)
- Politics | frames 2804–2805 (2 frames)
- Politics | frames 2811–2812 (2 frames)
- Politics | frames 2829–2830 (2 frames)
- Politics | frames 2844–2845 (2 frames)
- Politics | frames 2870–2871 (2 frames)
- Politics | frames 2880–2881 (2 frames)
- International | frames 2893–2894 (2 frames)
- Politics | frames 2907–2908 (2 frames)
- Other | frames 2909–2913 (5 frames)
- Justice/Crime | frames 2914–2915 (2 frames)
- Politics | frames 2938–2940 (3 frames)
- Politics | frames 2961–2962 (2 frames)
- Politics | frames 2979–2980 (2 frames)
- International | frames 2981–2982 (2 frames)

Topic block count (each block = 1 vote):
  Politics: 55
  International: 33
  Health: 6
  Justice/Crime: 12
  Other: 19

Total frames per topic:
  Politics: 499 frames (71.5%)
  International: 80 frames (11.5%)
  Health: 12 frames (1.7%)
  Justice/Crime: 26 frames (3.7%)
  Other: 81 frames (11.6%)
