
==============================
Topic Block Report: Telejornal_TVI_Jan_11
==============================

Total segments after smoothing: 285
Total frames: 746

Segments:
- Politics | frames 3447–3449 (3 frames)
- Justice/Crime | frames 3473–3474 (2 frames)
- Justice/Crime | frames 3494–3495 (2 frames)
- Politics | frames 3507–3510 (4 frames)
- Politics | frames 3534–3536 (3 frames)
- Politics | frames 3548–3549 (2 frames)
- Politics | frames 3570–3571 (2 frames)
- Politics | frames 3576–3577 (2 frames)
- Politics | frames 3581–3582 (2 frames)
- Accidents | frames 3589–3590 (2 frames)
- International | frames 3601–3602 (2 frames)
- Other | frames 3604–3608 (5 frames)
- Politics | frames 3634–3635 (2 frames)
- International | frames 3639–3640 (2 frames)
- Politics | frames 3658–3659 (2 frames)
- Politics | frames 3672–3675 (4 frames)
- Politics | frames 3680–3682 (3 frames)
- International | frames 3713–3714 (2 frames)
- Politics | frames 3715–3717 (3 frames)
- Other | frames 3722–3725 (4 frames)
- Justice/Crime | frames 3729–3730 (2 frames)
- Economy | frames 3732–3733 (2 frames)
- Politics | frames 3734–3735 (2 frames)
- Politics | frames 3740–3741 (2 frames)
- Other | frames 3750–3753 (4 frames)
- Politics | frames 3769–3770 (2 frames)
- Politics | frames 3808–3810 (3 frames)
- Politics | frames 3821–3822 (2 frames)
- Politics | frames 3824–3825 (2 frames)
- Politics | frames 3827–3830 (4 frames)
- Politics | frames 3838–3839 (2 frames)
- Politics | frames 3842–3844 (3 frames)
- Politics | frames 3854–3855 (2 frames)
- Politics | frames 3868–3869 (2 frames)
- Politics | frames 3888–3889 (2 frames)
- Politics | frames 3919–3920 (2 frames)
- Politics | frames 3930–3932 (3 frames)
- International | frames 3935–3936 (2 frames)
- Other | frames 3939–3942 (4 frames)

Topic block count (each block = 1 vote):
  Politics: 56
  International: 26
  Sports: 5
  Justice/Crime: 20
  Other: 26
  Economy: 2
  Health: 1
  Accidents: 2

Total frames per topic:
  Politics: 479 frames (64.2%)
  International: 67 frames (9.0%)
  Sports: 10 frames (1.3%)
  Justice/Crime: 44 frames (5.9%)
  Other: 135 frames (18.1%)
  Economy: 5 frames (0.7%)
  Health: 2 frames (0.3%)
  Accidents: 4 frames (0.5%)
