
==============================
Topic Block Report: Telejornal_TVI_Dec_18
==============================

Total segments after smoothing: 280
Total frames: 803

Segments:
- Other | frames 3089–3093 (5 frames)
- Politics | frames 3104–3105 (2 frames)
- Politics | frames 3109–3110 (2 frames)
- Politics | frames 3113–3114 (2 frames)
- Other | frames 3117–3122 (6 frames)
- Justice/Crime | frames 3126–3127 (2 frames)
- Politics | frames 3142–3143 (2 frames)
- Justice/Crime | frames 3147–3148 (2 frames)
- Other | frames 3186–3189 (4 frames)
- Justice/Crime | frames 3195–3196 (2 frames)
- Politics | frames 3207–3209 (3 frames)
- Politics | frames 3222–3223 (2 frames)
- Justice/Crime | frames 3239–3240 (2 frames)
- Politics | frames 3269–3270 (2 frames)
- Politics | frames 3274–3275 (2 frames)
- Justice/Crime | frames 3276–3277 (2 frames)
- Other | frames 3278–3281 (4 frames)
- Sports | frames 3284–3285 (2 frames)
- Politics | frames 3287–3292 (6 frames)
- Politics | frames 3297–3298 (2 frames)
- International | frames 3306–3307 (2 frames)
- Politics | frames 3311–3312 (2 frames)
- Politics | frames 3317–3319 (3 frames)
- Politics | frames 3323–3324 (2 frames)
- Politics | frames 3326–3327 (2 frames)
- Other | frames 3328–3331 (4 frames)
- Politics | frames 3356–3358 (3 frames)
- Politics | frames 3362–3365 (4 frames)
- Politics | frames 3368–3369 (2 frames)
- Other | frames 3391–3394 (4 frames)
- Politics | frames 3396–3397 (2 frames)
- Politics | frames 3406–3407 (2 frames)
- International | frames 3425–3426 (2 frames)
- Other | frames 3432–3436 (5 frames)
- Politics | frames 3437–3438 (2 frames)
- International | frames 3440–3441 (2 frames)
- Other | frames 3449–3454 (6 frames)
- Politics | frames 3477–3478 (2 frames)
- Other | frames 3480–3484 (5 frames)
- Politics | frames 3488–3489 (2 frames)
- Politics | frames 3513–3515 (3 frames)
- Society | frames 3517–3518 (2 frames)
- Politics | frames 3525–3526 (2 frames)
- Politics | frames 3533–3534 (2 frames)
- Other | frames 3537–3540 (4 frames)
- Justice/Crime | frames 3552–3553 (2 frames)
- Other | frames 3554–3557 (4 frames)
- Politics | frames 3566–3567 (2 frames)
- Other | frames 3578–3582 (5 frames)
- Politics | frames 3593–3594 (2 frames)
- Other | frames 3629–3632 (4 frames)
- Politics | frames 3711–3712 (2 frames)
- Justice/Crime | frames 3728–3731 (4 frames)
- Other | frames 3732–3735 (4 frames)
- Politics | frames 3746–3747 (2 frames)
- Justice/Crime | frames 3753–3754 (2 frames)
- Politics | frames 3800–3801 (2 frames)
- International | frames 3854–3855 (2 frames)
- Politics | frames 3905–3906 (2 frames)
- Justice/Crime | frames 3914–3915 (2 frames)
- Politics | frames 3935–3936 (2 frames)
- Politics | frames 3942–3943 (2 frames)
- International | frames 3962–3963 (2 frames)
